N,difficulty_expected_hashes,difficulty_mode,difficulty_ratio_vs_reference,expected_block_interval_s,hardware,network_hashrate_hps,p_success,per_miner_hashrate_hps,target,target_bits
10,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,60.0,H2_FIXED_PER_MINER_HASHRATE,14100000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
20,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,30.0,H2_FIXED_PER_MINER_HASHRATE,28200000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
50,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,12.0,H2_FIXED_PER_MINER_HASHRATE,70500000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
100,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,6.0,H2_FIXED_PER_MINER_HASHRATE,141000000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
200,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,3.0,H2_FIXED_PER_MINER_HASHRATE,282000000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
300,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,2.0,H2_FIXED_PER_MINER_HASHRATE,423000000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
400,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,1.5,H2_FIXED_PER_MINER_HASHRATE,564000000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
500,846000000000000.0,D1_CONSTANT_DIFFICULTY,1.0,1.2,H2_FIXED_PER_MINER_HASHRATE,705000000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
1,846000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,600.0,H2_FIXED_PER_MINER_HASHRATE,1410000000000.0,1.182033096926714e-15,1410000000000.0,136870081840799285370651282516179560110248208824634236453259554,207
2,1692000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,2.0,600.0,H2_FIXED_PER_MINER_HASHRATE,2820000000000.0,5.91016548463357e-16,1410000000000.0,68435040920399642685325641258089780055124104412317118226629776,206
5,4230000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,5.0,600.0,H2_FIXED_PER_MINER_HASHRATE,7050000000000.0,2.364066193853428e-16,1410000000000.0,27374016368159857074130256503235912022049641764926847290651910,205
10,8460000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,10.0,600.0,H2_FIXED_PER_MINER_HASHRATE,14100000000000.0,1.182033096926714e-16,1410000000000.0,13687008184079928537065128251617956011024820882463423645325954,204
20,1.692e+16,D2_HASHRATE_SCALED_DIFFICULTY,20.0,600.0,H2_FIXED_PER_MINER_HASHRATE,28200000000000.0,5.91016548463357e-17,1410000000000.0,6843504092039964268532564125808978005512410441231711822662976,203
50,4.23e+16,D2_HASHRATE_SCALED_DIFFICULTY,50.0,600.0,H2_FIXED_PER_MINER_HASHRATE,70500000000000.0,2.364066193853428e-17,1410000000000.0,2737401636815985707413025650323591202204964176492684729065190,201
100,8.46e+16,D2_HASHRATE_SCALED_DIFFICULTY,100.0,600.0,H2_FIXED_PER_MINER_HASHRATE,141000000000000.0,1.182033096926714e-17,1410000000000.0,1368700818407992853706512825161795601102482088246342364532594,200
200,1.692e+17,D2_HASHRATE_SCALED_DIFFICULTY,200.0,600.0,H2_FIXED_PER_MINER_HASHRATE,282000000000000.0,5.91016548463357e-18,1410000000000.0,684350409203996426853256412580897800551241044123171182266296,199
300,2.538e+17,D2_HASHRATE_SCALED_DIFFICULTY,300.0,600.0,H2_FIXED_PER_MINER_HASHRATE,423000000000000.0,3.940110323089046e-18,1410000000000.0,456233606135997617902170941720598533700827362748780788177530,199
400,3.384e+17,D2_HASHRATE_SCALED_DIFFICULTY,400.0,600.0,H2_FIXED_PER_MINER_HASHRATE,564000000000000.0,2.955082742316785e-18,1410000000000.0,342175204601998213426628206290448900275620522061585591133147,198
500,4.23e+17,D2_HASHRATE_SCALED_DIFFICULTY,500.0,600.0,H2_FIXED_PER_MINER_HASHRATE,705000000000000.0,2.3640661938534278e-18,1410000000000.0,273740163681598570741302565032359120220496417649268472906518,198
