seed_class,source_label,seed_index,master_seed_decimal,master_seed_hex,digest_sha256,template_child_seed_decimal,adversarial_child_seed_decimal
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,19,18079315101168952395,fae6a14bd387e44b,fae6a14bd387e44b6060bb2ec254da18bf8454c9e5640645ed82b536231d7314,6043571177915800040,12702549968641713946
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,20,7204546077592663632,63fbb07c7ad83650,63fbb07c7ad83650bf09f04e8931981023f4c4eb9df2857592f8b2bb8e2bf737,569641493284683202,13765921241000322430
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,21,9956737151618003453,8a2d6fafb42031fd,8a2d6fafb42031fdf5fc738414dd7a3a91e1750b778ce8a050a30cff54ce92fd,16877700863488327536,7386769304762975962
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,22,16387267417201747712,e36b44e479a4a700,e36b44e479a4a700889bbb9b0b32d9d0c6a8cec0b976bd7d58a3652aeb0801cd,2806097971093939155,12452745886917361139
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,23,9291552872952191884,80f23a1bf4135b8c,80f23a1bf4135b8ca26f45a17c2315175065273039ec08cd57f82895826f98f1,7757362910483186954,7789307205402291230
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,24,6774698307268965035,5e0490377134f2ab,5e0490377134f2ab8d7152c7bdf1e668d28fbed480eee3c3b54e6a7d9de5fa82,1576580045019179932,4935217386166152489
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,25,2397802915662912221,2146b50c357bdadd,2146b50c357bdadd1af2173f253f5deb7c2f9f7fd6acebf68a761e09c92d14c9,14619151551073477646,12920588218344506273
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,26,16512734406278341016,e52904744c976198,e52904744c9761980f4e3f3f851b47e662e144338a2b57fb0fcad8c1a41a6964,14322377249768527931,13254837558786523102
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,27,7759242425029944541,6bae5de0160ce4dd,6bae5de0160ce4dd25c052c4592bf226bcec8b09fba7f60b8cf796da6b199518,1149342802584957422,5649797684190372106
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,28,11711687275972324145,a2884586bccaeb31,a2884586bccaeb318c0628a33db5aa916645a0b5b62c21a8e97ea4702a760e32,1080364485313091703,6989550281425801118
CONFIRMATORY,PoCol-v45-stage7-confirmatory-,29,4354161107732199298,3c6d16754932f782,3c6d16754932f78262248aba9a74df009d1a9ccd1a69ebee1ce9bf44ffdb6025,958257433142140251,11054401464327553918
ANALYSIS,PoCol-v45-stage8-analysis-,0,13165134141831138817,b6b3f3c008364e01,b6b3f3c008364e0125bb4c7926b243a9b47fbb8e524c200d8013d7a9ba3b62a9,NA,NA
