family,gamma_scenario,gamma,seed,energy_kwh,carbon_kg,carbon_per_block_kg,carbon_per_tx_g
PoS_ETH,average,0.475,20260112,2377.807262678404,1129.458449772242,0.1568692291350336,0.07843461456751681
PoS_ETH,average,0.475,20260113,2377.951100414022,1129.5267726966606,0.15687871843009174,0.07843935921504588
PoS_ETH,average,0.475,20260114,2380.920457350192,1130.9372172413412,0.15707461350574184,0.07853730675287092
PoS_ETH,average,0.475,20260115,2371.923180595958,1126.66351078308,0.15648104316431666,0.07824052158215833
PoS_ETH,average,0.475,20260116,2382.4662238955216,1131.6714563503726,0.15717659115977398,0.07858829557988699
PoS_ETH,average,0.475,20260117,2384.2100991723664,1132.499797106874,0.15729163848706584,0.07864581924353292
PoS_ETH,average,0.475,20260118,2356.0283205675746,1119.113452269598,0.15543242392633305,0.07771621196316653
PoS_ETH,average,0.475,20260119,2378.3483076753405,1129.7154461457867,0.1569049230758037,0.07845246153790185
PoS_ETH,average,0.475,20260120,2363.615847428182,1122.7175275283864,0.1559329899344981,0.07796649496724907
PoS_ETH,average,0.475,20260121,2380.804184023984,1130.8819874113924,0.15706694269602672,0.07853347134801336
PoS_ETH,average,0.475,20260122,2378.633066947117,1129.8507067998805,0.1569237092777612,0.07846185463888058
PoS_ETH,average,0.475,20260123,2364.308604189697,1123.0465869901059,0.1559786926375147,0.07798934631875735
PoS_ETH,average,0.475,20260124,2372.8949383747167,1127.1250957279904,0.1565451521844431,0.07827257609222155
PoS_ETH,average,0.475,20260125,2384.0811826867703,1132.438561776216,0.15728313358003,0.078641566790015
PoS_ETH,average,0.475,20260126,2376.436609703211,1128.8073896090252,0.1567788041123646,0.0783894020561823
PoS_ETH,average,0.475,20260127,2385.5016679793584,1133.1132922901952,0.157376846151416,0.078688423075708
PoS_ETH,average,0.475,20260128,2366.9352371625528,1124.2942376522126,0.1561519774516962,0.0780759887258481
PoS_ETH,average,0.475,20260129,2389.325691942698,1134.9297036727814,0.15762912551010855,0.07881456275505426
PoS_ETH,average,0.475,20260130,2373.5936637586137,1127.4569902853414,0.15659124865074187,0.07829562432537092
PoS_ETH,high,0.82,20260101,2365.6617853325333,1939.8426639726772,0.2694225922184274,0.1347112961092137
PoS_ETH,high,0.82,20260102,2367.518023092805,1941.3647789360998,0.2696339970744583,0.13481699853722914
PoS_ETH,high,0.82,20260103,2374.5980393886985,1947.1703922987326,0.2704403322637129,0.13522016613185642
PoS_ETH,high,0.82,20260104,2371.495879682599,1944.6266213397312,0.2700870307416293,0.13504351537081466
PoS_ETH,high,0.82,20260105,2369.683009320401,1943.1400676427288,0.269880564950379,0.13494028247518952
